Sr.No,Round,Institute,Program,Stream,Seat Type,Quota,Category,Opening Rank,Closing Rank
2794,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,58393,58393
2795,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,5242,5242
2796,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,34397,37886
2797,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,21945,22447
2798,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,34677,34677
2799,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,13728,19667
2800,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,30041,33832
2801,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,79116,79116
2802,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,14986,14986
2803,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,21063,25738
2804,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,14370,16177
2805,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,20515,23273
2806,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,10983,13762
